adc_raw,voltage_mv,step_adc,step_mv,slope_adc_per_v,note
334,406,,,,起点
444,506,110,100,1100.0,
538,605,94,99,949.5,斜率变化大(151)
614,705,76,100,760.0,斜率变化大(189)
704,805,90,100,900.0,斜率变化大(140)
800,904,96,99,969.7,斜率变化大(70)
868,1004,68,100,680.0,斜率变化大(290)
968,1104,100,100,1000.0,斜率变化大(320)
1084,1203,116,99,1171.7,斜率变化大(172)
1464,1602,380,399,952.4,斜率变化大(219)
1649,1801,185,199,929.6,
1817,2003,168,202,831.7,斜率变化大(98)
2028,2203,211,200,1055.0,斜率变化大(223)
2212,2401,184,198,929.3,斜率变化大(126)
2495,2701,283,300,943.3,
2781,2999,286,298,959.7,
2884,3099,103,100,1030.0,斜率变化大(70)
2914,3199,30,100,300.0,斜率变化大(730)
